Image,h5_fooled,nit_h5,h5_wprediction,h5_to_tflite,h5_to_tflite_wprediction,h5_to_axc,h5_to_axc_wprediction,tflite_fooled,nit_tflite,tflite_wprediction,tflite_to_axc,tflite_to_axc_wprediction,axc_fooled,nit_axc,axc_wprediction,axc_to_h5_back
0,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
1,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
2,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
3,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
4,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
5,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
6,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
7,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
9,True,1,0.9902187,False,0,False,0,False,1,0,False,0,False,1,0,False
10,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
11,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
12,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
13,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
14,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
15,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
16,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
17,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
19,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
20,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
21,True,17,0.94745946,False,0,False,0,False,1,0,False,0,False,1,0,False
22,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
23,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
24,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
25,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
26,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
27,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
28,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
29,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
30,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
31,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
32,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
33,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
34,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
35,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
36,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
37,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
38,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
39,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
40,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
41,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
42,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
43,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
44,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
45,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
46,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
47,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
48,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
49,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
50,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
51,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
52,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
53,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
54,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
55,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
56,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
57,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
58,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
59,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
60,True,1,0.8199033,False,0,False,0,False,1,0,False,0,False,1,0,False
61,False,1,0,False,0,False,0,False,1,0,False,0,True,73,0.7096462952249535,False
63,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
64,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
65,False,1,0,False,0,False,0,False,1,0,False,0,True,2,0.80998512197564,False
66,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
67,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
68,False,1,0,False,0,False,0,False,1,0,False,0,False,1,0,False
