Image,Class,Correct predtiction from h5,Perturbation for h5,Number of iterations for h5,Probability of wrong prediction h5,Wrong class by h5,Correct prediction from tflite,Perturbation for tflite,Number of iterations for tflite,Probability of wrong prediction tflite,Wrong class by tflite,Correct prediction from axc,Perturbation for axc,Number of iterations for axc,Probability of wrong prediction axc,Wrong class by axc
0,7,0.9999956,0.050980392156862744,30,0.49638474,5,0.99609375,0.24313725490196036,1,0.25,2,0.5344805766520606,0.00392156862745098,1,0.5344805766520606,8
1,2,0.9997253,0.043137254901960784,49,0.51920956,5,0.99609375,0.29019607843137196,39,0.55078125,3,0.6580364160377021,0.00392156862745098,1,0.6580364160377021,3
2,1,0.9999999,0.0392156862745098,33,0.54306954,7,0.99609375,0.1921568627450978,1,0.47265625,8,0.6796623859281286,0.00392156862745098,1,0.6796623859281286,8
3,0,0.99975926,0.050980392156862744,16,0.53038335,9,0.99609375,0.24313725490196036,1,0.4765625,2,0.7098992833402501,0.00392156862745098,1,0.7098992833402501,8
4,4,0.99999213,0.043137254901960784,9,0.5207941,9,0.99609375,0.23137254901960747,1,0.46484375,8,0.6797002537384711,0.00392156862745098,1,0.6797002537384711,8
5,1,1.0,0.047058823529411764,8,0.5149453,7,0.99609375,0.24313725490196036,1,0.49609375,8,0.6402673820037341,0.00392156862745098,1,0.6402673820037341,8
6,4,0.99999833,0.0392156862745098,13,0.5105699,9,0.99609375,0.13725490196078427,41,0.73046875,8,0.8872871231011997,0.00392156862745098,1,0.8872871231011997,8
7,9,0.99996185,0.03529411764705882,5,0.53760874,4,0.99609375,0.21176470588235263,1,0.4140625,8,0.6117489504964335,0.00392156862745098,1,0.6117489504964335,8
9,9,0.9706537,0.00784313725490196,7,0.5079842,7,0.99609375,0.21960784313725457,1,0.5234375,8,0.8229137313104296,0.00392156862745098,1,0.8229137313104296,8
10,0,0.9999932,0.047058823529411764,30,0.50049984,9,0.99609375,0.25882352941176423,46,0.6328125,3,0.4866058265069709,0.00392156862745098,1,0.4866058265069709,8
11,6,0.9999888,0.0392156862745098,3,0.5066486,8,0.99609375,0.27843137254901906,39,0.44140625,3,0.6046381807245319,0.00392156862745098,1,0.6046381807245319,3
12,9,0.9999558,0.0392156862745098,3,0.5042181,4,0.99609375,0.18823529411764683,1,0.55859375,8,0.5973740422787779,0.00392156862745098,1,0.5973740422787779,8
13,0,0.9999999,0.09803921568627451,13,0.3509797,9,0.99609375,0.29019607843137196,1,0.48046875,8,0.5362718857419249,0.00392156862745098,1,0.5362718857419249,8
14,1,0.99999845,0.047058823529411764,21,0.551482,7,0.99609375,0.2156862745098036,7,0.578125,8,0.6370835581540718,0.00392156862745098,1,0.6370835581540718,8
15,5,0.99953747,0.03137254901960784,2,0.5500484,3,0.99609375,0.16470588235294104,1,0.49609375,3,0.6406425695301736,0.00392156862745098,1,0.6406425695301736,3
16,9,0.999977,0.03529411764705882,13,0.5176212,4,0.99609375,0.13725490196078427,9,0.49609375,8,0.8239160803397029,0.00392156862745098,1,0.8239160803397029,8
17,7,0.9999367,0.0392156862745098,21,0.53525126,5,0.99609375,0.19999999999999973,1,0.4609375,5,0.848318212170973,0.00392156862745098,1,0.848318212170973,8
19,4,1.0,0.047058823529411764,18,0.57721174,7,0.99609375,0.19999999999999973,24,0.41796875,3,0.6575743462116751,0.00392156862745098,1,0.6575743462116751,8
20,9,0.99992,0.03137254901960784,29,0.53879666,7,0.99609375,0.2509803921568623,8,0.515625,4,0.8632434022486196,0.00392156862745098,1,0.8632434022486196,8
21,6,0.9971308,0.03529411764705882,13,0.503312,2,0.93359375,0.12549019607843137,1,0.453125,2,0.8033089682564979,0.00392156862745098,1,0.8033089682564979,8
22,6,0.9999989,0.043137254901960784,5,0.5142656,2,0.99609375,0.1803921568627449,7,0.515625,4,0.8651584125062644,0.00392156862745098,1,0.8651584125062644,8
23,5,0.9999875,0.043137254901960784,13,0.51616263,2,0.99609375,0.2156862745098036,30,0.46875,3,0.6513743597750641,0.00392156862745098,1,0.6513743597750641,8
24,4,0.99996924,0.03137254901960784,3,0.5749277,8,0.99609375,0.14901960784313717,1,0.484375,8,0.7305320720092395,0.00392156862745098,1,0.7305320720092395,8
25,0,0.99999464,0.043137254901960784,10,0.50676703,9,0.88671875,0.09411764705882353,43,0.54296875,6,0.5796075955110188,0.00392156862745098,1,0.5796075955110188,8
26,7,0.99983156,0.027450980392156862,12,0.5024951,5,0.99609375,0.168627450980392,1,0.44140625,5,0.8014643277328412,0.00392156862745098,1,0.8014643277328412,8
27,4,0.9999999,0.07058823529411765,19,0.62841135,8,0.99609375,0.23137254901960747,1,0.5703125,8,0.8187632504325809,0.00392156862745098,1,0.8187632504325809,8
28,0,0.9999933,0.07058823529411765,35,0.5178922,9,0.984375,0.12549019607843137,36,0.54296875,5,0.639643913631829,0.00392156862745098,1,0.639643913631829,8
29,1,0.9999975,0.043137254901960784,12,0.5450451,7,0.99609375,0.1803921568627449,5,0.51171875,8,0.7910134145961841,0.00392156862745098,1,0.7910134145961841,8
30,3,1.0,0.06274509803921569,9,0.54597926,8,0.99609375,0.3098039215686268,26,0.79296875,8,0.784425763870067,0.00392156862745098,1,0.784425763870067,8
31,1,0.99999857,0.047058823529411764,31,0.5464009,7,0.99609375,0.17647058823529393,34,0.578125,8,0.6685187208281942,0.00392156862745098,1,0.6685187208281942,8
32,3,1.0,0.09411764705882353,41,0.61521035,5,0.99609375,0.33725490196078356,24,0.66015625,8,0.8558079205918884,0.00392156862745098,1,0.8558079205918884,8
33,4,0.9999863,0.027450980392156862,18,0.5294802,2,0.99609375,0.33725490196078356,46,0.53125,2,0.5853270263597713,0.00392156862745098,1,0.5853270263597713,8
34,7,0.9999999,0.054901960784313725,47,0.49902612,5,0.99609375,0.24313725490196036,1,0.453125,8,0.6377377618708228,0.00392156862745098,1,0.6377377618708228,8
35,2,0.9999999,0.06274509803921569,46,0.58700335,7,0.99609375,0.3803921568627442,23,0.53125,3,0.5616536897540869,0.00392156862745098,1,0.5616536897540869,8
36,7,0.9887587,0.01568627450980392,2,0.55264884,2,0.99609375,0.1333333333333333,1,0.46875,2,0.824061262345001,0.00392156862745098,1,0.824061262345001,8
37,1,0.9999981,0.058823529411764705,41,0.54022974,7,0.99609375,0.23529411764705843,1,0.53515625,8,0.5637334244120116,0.00392156862745098,1,0.5637334244120116,8
38,2,0.998648,0.03529411764705882,12,0.51365227,5,0.99609375,0.27843137254901906,24,0.5859375,3,0.6516865401276006,0.00392156862745098,1,0.6516865401276006,8
39,1,0.9999927,0.043137254901960784,17,0.5038683,7,0.99609375,0.2392156862745094,10,0.54296875,8,0.891429530788008,0.00392156862745098,1,0.891429530788008,8
40,1,0.9999975,0.043137254901960784,16,0.50739366,7,0.99609375,0.11372549019607843,1,0.55078125,8,0.7951473380838163,0.00392156862745098,1,0.7951473380838163,8
41,7,0.9997243,0.0196078431372549,3,0.51406306,3,0.98828125,0.1333333333333333,16,0.4609375,2,0.5510884778821084,0.00392156862745098,1,0.5510884778821084,3
42,4,0.9999999,0.050980392156862744,42,0.51802576,9,0.99609375,0.2039215686274507,1,0.5546875,8,0.8312198842788474,0.00392156862745098,1,0.8312198842788474,8
43,2,0.99864906,0.027450980392156862,3,0.5050866,4,0.9921875,0.3333333333333326,1,0.55078125,8,0.612109617063888,0.00392156862745098,1,0.612109617063888,8
44,3,0.99999905,0.050980392156862744,18,0.52065444,5,0.99609375,0.27843137254901906,35,0.54296875,8,0.8607192834186751,0.00392156862745098,1,0.8607192834186751,8
45,5,0.9999337,0.043137254901960784,12,0.52494323,8,0.99609375,0.21960784313725457,3,0.671875,8,0.7551237389829785,0.00392156862745098,1,0.7551237389829785,8
46,1,0.99999964,0.047058823529411764,38,0.517085,6,0.99609375,0.19607843137254877,1,0.51171875,8,0.5427409288298914,0.00392156862745098,1,0.5427409288298914,8
47,2,0.9999869,0.050980392156862744,17,0.5678533,6,0.984375,0.20784313725490167,42,0.54296875,8,0.8049400604575346,0.00392156862745098,1,0.8049400604575346,3
48,4,0.99998593,0.043137254901960784,13,0.46948922,9,0.99609375,0.11372549019607843,3,0.4375,8,0.8748784554808224,0.00392156862745098,1,0.8748784554808224,8
49,4,1.0,0.050980392156862744,30,0.53874135,8,0.99609375,0.29019607843137196,42,0.54296875,8,0.49907374257821696,0.00392156862745098,1,0.49907374257821696,3
